Item_Id,Low_Cap_Price
IT_265079,2991
IT_265087,4734
IT_265107,11838
IT_265139,10097
IT_265142,2797
IT_265144,1593
IT_265148,3135
IT_265156,7475
IT_265162,8470
IT_265170,7886
IT_265175,6409
IT_265181,6052
IT_265183,6114
IT_265184,5909
IT_265196,7122
IT_265201,8880
IT_265205,8608
IT_265244,4742
IT_265255,14121
IT_265259,10069
IT_265264,9344
IT_265274,5183
IT_265275,6276
IT_265294,874
IT_265315,10807
IT_265317,3139
IT_265332,5999
IT_265338,6311
IT_265339,5982
IT_265341,6508
IT_265349,5703
IT_265350,6765
IT_265360,7364
IT_265379,5531
IT_265382,10359
IT_265417,11501
IT_265448,2779
IT_265455,3029
IT_265482,6507
IT_265490,5745
IT_265495,6956
IT_265499,5399
IT_265500,6960
IT_265504,8338
IT_265507,7166
IT_265533,7633
IT_265566,12070
IT_265568,6213
IT_265575,9303
IT_265577,3198
IT_265581,8129
IT_265611,7122
IT_265615,5291
IT_265647,6331
IT_265697,9086
IT_265701,3418
IT_265702,2936
IT_265703,1397
IT_265720,9544
IT_265734,6685
IT_265736,6725
IT_265740,6049
IT_265742,6317
IT_265747,6668
IT_265751,6694
IT_265757,9136
IT_265792,6911
IT_265816,6853
IT_265819,3364
IT_265866,13821
IT_265869,9309
IT_265874,2796
IT_265880,2109
IT_265905,6499
IT_265911,6068
IT_265922,8471
IT_265927,8320
IT_265932,8941
IT_265935,6654
IT_265948,5204
IT_265966,6315
IT_265976,4415
IT_265999,9199
IT_266030,6623
IT_266056,2097
IT_266058,3140
IT_266060,1374
IT_266069,1863
IT_266096,11803
IT_266103,6794
IT_266111,6068
IT_266115,6468
IT_266124,8538
IT_266128,9049
IT_266132,6828
IT_266137,6338
IT_266141,3393
IT_266155,15472
IT_266157,13831
IT_266166,6779
IT_266175,4511
IT_266188,6087
IT_266255,449
IT_266258,2175
IT_266264,2598
IT_266281,11155
IT_266298,7007
IT_266299,6450
IT_266307,5714
IT_266318,6452
IT_266322,8279
IT_266324,6551
IT_266334,6603
IT_266338,3282
IT_266354,10534
IT_266366,2597
IT_266376,4644
IT_266402,7837
IT_266413,5793
IT_266453,934
IT_266498,6690
IT_266499,2803
IT_266506,6095
IT_266514,6126
IT_266523,8257
IT_266532,6668
IT_266536,6674
IT_266537,6059
IT_266541,3339
IT_266556,12589
IT_266557,13820
IT_266571,2949
IT_266578,3504
IT_266594,7411
IT_266650,9265
IT_266665,1699
IT_266667,8247
IT_266671,3304
IT_266684,7957
IT_266700,6209
IT_266703,6630
IT_266715,7830
IT_266731,8452
IT_266741,5883
IT_266744,6160
IT_266752,6989
IT_266786,11333
IT_266806,5910
IT_266825,12030
IT_266833,3361
IT_266836,2703
IT_266842,2867
IT_266855,6683
IT_266915,11535
IT_266927,9145
IT_266950,7292
IT_266955,11748
IT_266974,6637
IT_266977,6272
IT_266981,5801
IT_266983,5817
IT_266988,6281
IT_266993,5218
IT_266994,6705
IT_266996,8314
IT_266999,6246
IT_267001,8439
IT_267003,6347
IT_267004,5950
IT_267019,3364
IT_267026,14841
IT_267049,4678
IT_267067,3243
IT_267121,9717
IT_267125,1646
IT_267130,2937
IT_267169,5929
IT_267181,6946
IT_267189,5877
IT_267194,7128
IT_267202,4586
IT_267243,3227
IT_267326,5829
IT_267328,5857
IT_267333,4967
IT_267401,3144
IT_267411,6181
IT_267468,1454
IT_267471,4678
IT_267474,5215
IT_267476,3609
IT_267495,10003
IT_267513,6754
IT_267517,5538
IT_267519,3850
IT_267534,6472
IT_267544,5476
IT_267555,3439
IT_267556,4063
IT_267599,2762
IT_267604,3896
IT_267652,6043
IT_267654,217
IT_267656,1586
IT_267662,1749
IT_267707,6382
IT_267711,5013
IT_267713,3682
IT_267714,5571
IT_267721,6902
IT_267735,4072
IT_267764,12142
IT_267808,3131
IT_267819,6213
IT_267844,4965
IT_267885,1530
IT_267929,6407
IT_267932,6098
IT_267938,3656
IT_267939,5109
IT_267944,6188
IT_267945,6987
IT_267951,5987
IT_267954,7262
IT_267957,4067
IT_267970,3368
IT_268027,10624
IT_268040,2167
IT_268075,5272
IT_268107,1928
IT_268195,10817
IT_268249,6763
IT_268250,5966
IT_268256,5209
IT_268259,5513
IT_268265,6973
IT_268272,5764
IT_268275,7065
IT_268284,5562
IT_268285,5122
IT_268300,3958
IT_268323,3158
IT_268331,2650
IT_268364,12611
IT_268398,5846
IT_268400,1577
IT_268406,2394
IT_268447,6078
IT_268455,5819
IT_268463,4912
IT_268469,6851
IT_268472,3940
IT_268475,8725
IT_268476,6040
IT_268486,3417
IT_268497,6809
IT_268517,2946
IT_268552,8727
IT_268591,5710
IT_268630,2734
IT_268644,2261
IT_268651,6781
IT_268669,6594
IT_268672,6205
IT_268678,5373
IT_268683,5962
IT_268690,4410
IT_268695,7095
IT_268719,5199
IT_268734,14179
IT_268756,2676
IT_268834,1083
IT_268841,2098
IT_268890,5046
IT_268893,5657
IT_268904,5627
IT_268906,6432
IT_268909,6094
IT_268912,5807
IT_268958,2826
IT_268994,10106
IT_269018,3047
IT_269029,2290
IT_269056,5134
IT_269067,5017
IT_269105,3047
IT_269172,2092
IT_269213,3959
IT_269221,6180
IT_269236,6585
IT_269267,2484
IT_269290,3575
IT_269308,5664
IT_269317,1928
IT_269327,2964
IT_269384,3312
IT_269420,3115
IT_269451,5780
