Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3458.921122435704
ACCEGCATKHNRXUHW,2209.3539891997116
NKCE6GJ5XVJDXNNZ,10806.176549579472
NKCEB8BK3ZXDHDHM,8865.547949824353
TOPEFDXSAHRNPF94,5382.1103767154855
ACCE558KZHEPZYMG,8709.568225390882
ACCEAZCVAMFHDPY7,5190.653957688572
NKCDYNY37JPBGBVM,2876.149380815564
NKCEY8KWY33FCUYD,7421.0239082577555
RNGE4YPTQYRECV9J,4560.675404371401
NKCE88AHBHJZREXH,3793.3114430986116
CLTEJ5ZZGBP4JGGE,7385.432262956105
WATE3NWH5FZWAMDA,7456.976672153138
CAGE53FSFZVFPFHQ,2127.857752447163
PCSEAKVBFFPGCHNZ,4037.909159447213
WATDFFH3KJYBTYGG,6885.861021235985
NKCDWHFQSCHHYZMP,2917.9564688789824
RNGEB2PG3Q5RKDW6,3596.26962980847
NKCE5UY9HHPZGGUZ,4564.588044238317
KTAEHETW3ZCMFMJR,4410.718761990807
BRAEBBYRVF9MHJHU,7283.077977719149
NKCEAX7HAQ2RJA3Q,9582.985992283468
CRTECN2RQZWBSP9W,4871.9490415943455
WATDEWZ9UHSEHGZG,8892.708480287069
PTPEYW8HNV6G9YYR,3107.467361646262
ACCEAMGZRRYVAHDC,5029.630519925524
SRTEHHXG8MUXTGPA,5916.959829801686
SKIE4S4NN4MHYM3Z,5114.498004057392
HMBE7G34YHWPWKYN,6806.029444243211
LLIEGTMFJBD7ZZZM,13097.511581722976
ACCEJGH6JVTM4CBH,1065.5853574770497
ACCDQDYBXJ9HZF37,9646.863444957155
RNGE88FRGZCXNKUG,164.2616035573427
NKCE7M3QNNPZDXHQ,9633.59223573179
VLBEGFFDP9H6WG2T,3794.5161455518555
TOPEAFG4YEQSH5TT,2732.109990588746
WATEYAP3K2QQQWDH,5000.373562469522
PCSEBDFUFJWGARNX,10062.701028787906
SWTEGXQFZY95SKG7,4928.474348031179
BRAEGJFXSM9ZQ6SK,6308.679277225368
CAGE6FYKP34GA4GF,7004.151354914102
HMBEJCMH78VJF3M8,4555.915058384198
HIFEB7J3GSTVN5XJ,9935.30628016301
PBXE6ZHNGZREWWHR,4869.126633185808
PCSEAKVBNXFGZBKB,6719.823254517223
BRAEBBMQQNZ9RZWR,5598.832252822167
ACCEGKFCXHZZH44S,570.0619300166211
SHODXQRRGKZ74U9M,4387.979499181749
DREE2Y6DVEKVVQQS,4609.999685378898
PBXE8ZHHG5Y525BT,6826.8945284412
CTTEH9FXZHGFKUA3,7677.639290548908
ACCDXFZXGQTBTM6N,3692.6619895487484
NKCE9PFF3TT4KSQJ,7629.713971295807
BRAE6NZAZK77HXZK,1461.99863442295
NKCE4TV42BHDP63U,3627.3395462083786
AIREDGGD9RJPZGYW,5611.57875177421
PCSEDAPMHR2HNHWP,7900.245258854555
PACE95FMAFXHZB5C,4647.103650716936
WATDG4KP445AV5XC,12722.729228344599
ACCE9EYRRNZYZUBG,1264.9500351862353
ACCE8XZMAHNC8JVS,69.19532785062722
SHOED5DCSTQKZCGF,3931.3910868030844
NKCE64Z4NGBHNAY7,3696.7025765956437
PBXE8WQTZ5GA2YYQ,1364.6762920996068
MUGEGZUMGYAPVSZH,4479.697468451941
PBXE4RB3Y3GXWPFV,355.4370405169851
